
Minimum time:  1461	(0.37327 ms)

Test #		Time
342:		1494	(0.381701 ms)
343:		1558	(0.398052 ms)
344:		1492	(0.38119 ms)
345:		1499	(0.382978 ms)
346:		1492	(0.38119 ms)
347:		1498	(0.382723 ms)
348:		1495	(0.381956 ms)
349:		1492	(0.38119 ms)
350:		1498	(0.382723 ms)
351:		1486	(0.379657 ms)
352:		1492	(0.38119 ms)
353:		1512	(0.386299 ms)
354:		1492	(0.38119 ms)
355:		1483	(0.37889 ms)
356:		1486	(0.379657 ms)
357:		1483	(0.37889 ms)
358:		1486	(0.379657 ms)
359:		1501	(0.383489 ms)
360:		1492	(0.38119 ms)
361:		1524	(0.389365 ms)
362:		1525	(0.389621 ms)
363:		1496	(0.382212 ms)
364:		1515	(0.387066 ms)
365:		1491	(0.380934 ms)
366:		1498	(0.382723 ms)
367:		1494	(0.381701 ms)
368:		1494	(0.381701 ms)
369:		1484	(0.379146 ms)
370:		1494	(0.381701 ms)
371:		1482	(0.378635 ms)
372:		1502	(0.383745 ms)
373:		1485	(0.379401 ms)
374:		1486	(0.379657 ms)
375:		1489	(0.380423 ms)
376:		1498	(0.382723 ms)
377:		1484	(0.379146 ms)
378:		1477	(0.377357 ms)
379:		1735	(0.443274 ms)
380:		1477	(0.377357 ms)
381:		1477	(0.377357 ms)
382:		1469	(0.375313 ms)
383:		1483	(0.37889 ms)
384:		1544	(0.394475 ms)
385:		1495	(0.381956 ms)
386:		1484	(0.379146 ms)
387:		2253	(0.575617 ms)
388:		2169	(0.554156 ms)
389:		2170	(0.554411 ms)
390:		2186	(0.558499 ms)
391:		2231	(0.569996 ms)
392:		2182	(0.557477 ms)
393:		2169	(0.554156 ms)
394:		2162	(0.552367 ms)
395:		2183	(0.557733 ms)
396:		2178	(0.556455 ms)
397:		2189	(0.559266 ms)
398:		2193	(0.560287 ms)
399:		2191	(0.559777 ms)
400:		2141	(0.547002 ms)
401:		2182	(0.557477 ms)
402:		2173	(0.555178 ms)
403:		1844	(0.471122 ms)
404:		1479	(0.377868 ms)
405:		1468	(0.375058 ms)
406:		1474	(0.376591 ms)
407:		1470	(0.375569 ms)
408:		1488	(0.380168 ms)
409:		1483	(0.37889 ms)
410:		1490	(0.380679 ms)
411:		1510	(0.385788 ms)
412:		1502	(0.383745 ms)
413:		1499	(0.382978 ms)
414:		1485	(0.379401 ms)
415:		1483	(0.37889 ms)
416:		1486	(0.379657 ms)
417:		1502	(0.383745 ms)
418:		1511	(0.386044 ms)
419:		1477	(0.377357 ms)
420:		1486	(0.379657 ms)
421:		1487	(0.379912 ms)
422:		1487	(0.379912 ms)
423:		1487	(0.379912 ms)
424:		1488	(0.380168 ms)
425:		1488	(0.380168 ms)
426:		1512	(0.386299 ms)
427:		1473	(0.376335 ms)
428:		1486	(0.379657 ms)
429:		1500	(0.383234 ms)
430:		1503	(0.384 ms)
431:		1491	(0.380934 ms)
432:		1486	(0.379657 ms)
433:		1505	(0.384511 ms)
434:		1488	(0.380168 ms)
435:		1488	(0.380168 ms)
436:		1480	(0.378124 ms)
437:		1524	(0.389365 ms)
438:		1485	(0.379401 ms)
439:		1489	(0.380423 ms)
440:		1480	(0.378124 ms)
441:		1486	(0.379657 ms)
442:		1486	(0.379657 ms)
443:		1538	(0.392942 ms)
444:		1511	(0.386044 ms)
445:		1536	(0.392431 ms)
446:		1521	(0.388599 ms)
447:		1486	(0.379657 ms)
448:		1466	(0.374547 ms)
449:		1483	(0.37889 ms)
450:		1480	(0.378124 ms)
451:		1488	(0.380168 ms)
452:		1489	(0.380423 ms)
453:		1483	(0.37889 ms)
454:		1495	(0.381956 ms)
455:		1491	(0.380934 ms)
456:		1490	(0.380679 ms)
457:		1492	(0.38119 ms)
458:		1501	(0.383489 ms)
459:		1491	(0.380934 ms)
460:		1498	(0.382723 ms)
461:		1493	(0.381445 ms)
462:		1553	(0.396775 ms)
463:		1628	(0.415936 ms)
464:		1498	(0.382723 ms)
465:		1483	(0.37889 ms)
466:		1482	(0.378635 ms)
467:		1484	(0.379146 ms)
468:		1483	(0.37889 ms)
469:		1505	(0.384511 ms)
470:		1481	(0.378379 ms)
471:		1513	(0.386555 ms)
472:		1483	(0.37889 ms)
473:		1486	(0.379657 ms)
474:		1474	(0.376591 ms)
475:		1493	(0.381445 ms)
476:		1492	(0.38119 ms)
477:		1494	(0.381701 ms)
478:		1488	(0.380168 ms)
479:		1498	(0.382723 ms)
480:		1502	(0.383745 ms)
481:		1512	(0.386299 ms)
482:		1500	(0.383234 ms)
483:		1503	(0.384 ms)
484:		1501	(0.383489 ms)
485:		1487	(0.379912 ms)
486:		1486	(0.379657 ms)
487:		1539	(0.393198 ms)
488:		1486	(0.379657 ms)
489:		1481	(0.378379 ms)
490:		1487	(0.379912 ms)
491:		1480	(0.378124 ms)
492:		1491	(0.380934 ms)
493:		1493	(0.381445 ms)
494:		1491	(0.380934 ms)
495:		1483	(0.37889 ms)
496:		1488	(0.380168 ms)
497:		1504	(0.384256 ms)
498:		1488	(0.380168 ms)
499:		1487	(0.379912 ms)
500:		1483	(0.37889 ms)
501:		1516	(0.387321 ms)
502:		1482	(0.378635 ms)
503:		1480	(0.378124 ms)
504:		1482	(0.378635 ms)
505:		1489	(0.380423 ms)
506:		1488	(0.380168 ms)
507:		1485	(0.379401 ms)
508:		1489	(0.380423 ms)
509:		1525	(0.389621 ms)
510:		1491	(0.380934 ms)
511:		1474	(0.376591 ms)
512:		1483	(0.37889 ms)
513:		1483	(0.37889 ms)
514:		1491	(0.380934 ms)
515:		1504	(0.384256 ms)
516:		1512	(0.386299 ms)
517:		1524	(0.389365 ms)
518:		1490	(0.380679 ms)
519:		1492	(0.38119 ms)
520:		1496	(0.382212 ms)
521:		1494	(0.381701 ms)
522:		1508	(0.385277 ms)
523:		1508	(0.385277 ms)
524:		1474	(0.376591 ms)
525:		1483	(0.37889 ms)
526:		1487	(0.379912 ms)
527:		1491	(0.380934 ms)
528:		1483	(0.37889 ms)
529:		1498	(0.382723 ms)
530:		1506	(0.384767 ms)
531:		1483	(0.37889 ms)
532:		1482	(0.378635 ms)
533:		1490	(0.380679 ms)
534:		1492	(0.38119 ms)
535:		1522	(0.388854 ms)
536:		1515	(0.387066 ms)
537:		1492	(0.38119 ms)
538:		1488	(0.380168 ms)
539:		1494	(0.381701 ms)
540:		1507	(0.385022 ms)
541:		1484	(0.379146 ms)
542:		1493	(0.381445 ms)
543:		1498	(0.382723 ms)
544:		1487	(0.379912 ms)
545:		1482	(0.378635 ms)
546:		1497	(0.382467 ms)
547:		1491	(0.380934 ms)
548:		1492	(0.38119 ms)
549:		1483	(0.37889 ms)
550:		1499	(0.382978 ms)
551:		1495	(0.381956 ms)
552:		1492	(0.38119 ms)
553:		1511	(0.386044 ms)
554:		1526	(0.389876 ms)
555:		1499	(0.382978 ms)
556:		1484	(0.379146 ms)
557:		1493	(0.381445 ms)
558:		1485	(0.379401 ms)
559:		1488	(0.380168 ms)
560:		1499	(0.382978 ms)
561:		1497	(0.382467 ms)
562:		1483	(0.37889 ms)
563:		1492	(0.38119 ms)
564:		1501	(0.383489 ms)
565:		1501	(0.383489 ms)
566:		1491	(0.380934 ms)
567:		1489	(0.380423 ms)
568:		1491	(0.380934 ms)
569:		1497	(0.382467 ms)
570:		1487	(0.379912 ms)
571:		1513	(0.386555 ms)
572:		1550	(0.396008 ms)
573:		1493	(0.381445 ms)
574:		1496	(0.382212 ms)
575:		1496	(0.382212 ms)
576:		1498	(0.382723 ms)
577:		1487	(0.379912 ms)
578:		1492	(0.38119 ms)
579:		1491	(0.380934 ms)
580:		1497	(0.382467 ms)
581:		1487	(0.379912 ms)
582:		1492	(0.38119 ms)
583:		1484	(0.379146 ms)
584:		1507	(0.385022 ms)
585:		1541	(0.393709 ms)
586:		1491	(0.380934 ms)
587:		1482	(0.378635 ms)
588:		1501	(0.383489 ms)
589:		1504	(0.384256 ms)
590:		1530	(0.390898 ms)
591:		1491	(0.380934 ms)
592:		1509	(0.385533 ms)
593:		1505	(0.384511 ms)
594:		1488	(0.380168 ms)
595:		1517	(0.387577 ms)
596:		1476	(0.377102 ms)
597:		1481	(0.378379 ms)
598:		1550	(0.396008 ms)
599:		1503	(0.384 ms)
600:		1476	(0.377102 ms)
601:		1480	(0.378124 ms)
602:		1487	(0.379912 ms)
603:		1495	(0.381956 ms)
604:		1479	(0.377868 ms)
605:		1487	(0.379912 ms)
606:		1493	(0.381445 ms)
607:		1488	(0.380168 ms)
608:		1506	(0.384767 ms)
609:		1487	(0.379912 ms)
610:		1489	(0.380423 ms)
611:		1497	(0.382467 ms)
612:		1476	(0.377102 ms)
613:		1502	(0.383745 ms)
614:		1496	(0.382212 ms)
615:		1486	(0.379657 ms)
616:		1514	(0.38681 ms)
617:		1475	(0.376846 ms)
618:		1481	(0.378379 ms)
619:		1484	(0.379146 ms)
620:		1489	(0.380423 ms)
621:		1493	(0.381445 ms)
622:		1498	(0.382723 ms)
623:		1494	(0.381701 ms)
624:		1487	(0.379912 ms)
625:		1478	(0.377613 ms)
626:		1514	(0.38681 ms)
627:		1492	(0.38119 ms)
628:		1495	(0.381956 ms)
629:		1490	(0.380679 ms)
630:		1505	(0.384511 ms)
631:		1494	(0.381701 ms)
632:		1491	(0.380934 ms)
633:		1482	(0.378635 ms)
634:		1498	(0.382723 ms)
635:		1486	(0.379657 ms)
636:		1489	(0.380423 ms)
637:		1489	(0.380423 ms)
638:		1482	(0.378635 ms)
639:		1495	(0.381956 ms)
640:		1504	(0.384256 ms)
641:		1494	(0.381701 ms)
642:		1517	(0.387577 ms)
643:		1496	(0.382212 ms)
644:		1535	(0.392176 ms)
645:		1536	(0.392431 ms)
646:		1487	(0.379912 ms)
647:		1487	(0.379912 ms)
648:		1496	(0.382212 ms)
649:		1486	(0.379657 ms)
650:		1491	(0.380934 ms)
651:		1501	(0.383489 ms)
652:		1496	(0.382212 ms)
653:		1489	(0.380423 ms)
654:		1484	(0.379146 ms)
655:		1518	(0.387832 ms)
656:		1492	(0.38119 ms)
657:		1486	(0.379657 ms)
658:		1493	(0.381445 ms)
659:		1487	(0.379912 ms)
660:		1497	(0.382467 ms)
661:		1489	(0.380423 ms)
662:		1524	(0.389365 ms)
663:		1516	(0.387321 ms)
664:		1485	(0.379401 ms)
665:		1498	(0.382723 ms)
666:		1519	(0.388088 ms)
667:		1474	(0.376591 ms)
668:		1488	(0.380168 ms)
669:		1487	(0.379912 ms)
670:		1481	(0.378379 ms)
671:		1488	(0.380168 ms)
672:		1488	(0.380168 ms)
673:		1489	(0.380423 ms)
674:		1487	(0.379912 ms)
675:		1478	(0.377613 ms)
676:		1486	(0.379657 ms)
677:		1500	(0.383234 ms)
678:		1496	(0.382212 ms)
679:		1491	(0.380934 ms)
680:		1504	(0.384256 ms)
681:		1509	(0.385533 ms)
682:		1476	(0.377102 ms)
683:		1491	(0.380934 ms)
684:		1496	(0.382212 ms)
685:		1497	(0.382467 ms)
686:		1493	(0.381445 ms)
687:		1488	(0.380168 ms)
688:		1484	(0.379146 ms)
689:		1490	(0.380679 ms)
690:		1517	(0.387577 ms)
691:		1499	(0.382978 ms)
692:		1482	(0.378635 ms)
693:		1497	(0.382467 ms)
694:		1494	(0.381701 ms)
695:		1514	(0.38681 ms)
696:		1481	(0.378379 ms)
697:		1508	(0.385277 ms)
698:		1495	(0.381956 ms)
699:		1531	(0.391154 ms)
700:		1494	(0.381701 ms)
701:		1484	(0.379146 ms)
